"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "XML", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/joan/Project/note-taking-app-new/src/components/NoteActions/ActionBar.tsx", "TypeScript JSX", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 118
"/Users/joan/Project/note-taking-app-new/src/components/NoteActions/NewNoteButton.tsx", "TypeScript JSX", 71, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 81
"/Users/joan/Project/note-taking-app-new/src/components/NoteActions/SearchBar.tsx", "TypeScript JSX", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"/Users/joan/Project/note-taking-app-new/src/components/NoteActions/StatusFilter.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/joan/Project/note-taking-app-new/src/components/NoteBrifeView/index.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/joan/Project/note-taking-app-new/src/components/NoteCard/NoteCardContent.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/joan/Project/note-taking-app-new/src/components/NoteCard/NoteCardHeader.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/Users/joan/Project/note-taking-app-new/src/components/NoteCard/NoteCardTags.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"/Users/joan/Project/note-taking-app-new/src/components/NoteCard/index.tsx", "TypeScript JSX", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 63
"/Users/joan/Project/note-taking-app-new/src/components/NoteDetail/NoteDetailContent.css", "PostCSS", 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 19, 113
"/Users/joan/Project/note-taking-app-new/src/components/NoteDetail/NoteDetailContent.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"/Users/joan/Project/note-taking-app-new/src/components/NoteDetail/NoteDetailHeader.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 85
"/Users/joan/Project/note-taking-app-new/src/components/ReuseTitle.tsx", "TypeScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/joan/Project/note-taking-app-new/src/components/Tag/AddNewTagDialog.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"/Users/joan/Project/note-taking-app-new/src/components/Tag/TagSelector.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 63
"/Users/joan/Project/note-taking-app-new/src/components/Tag/index.tsx", "TypeScript JSX", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 106
"/Users/joan/Project/note-taking-app-new/src/components/TagsPopover.tsx", "TypeScript JSX", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 83
"/Users/joan/Project/note-taking-app-new/src/constants/messages.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/joan/Project/note-taking-app-new/src/contexts/NoteProvider.tsx", "TypeScript JSX", 420, 0, 0, 0, 0, 0, 0, 0, 0, 16, 62, 498
"/Users/joan/Project/note-taking-app-new/src/data/note.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 3, 79
"/Users/joan/Project/note-taking-app-new/src/helpers/noteHelpers.ts", "TypeScript", 0, 213, 0, 0, 0, 0, 0, 0, 0, 41, 39, 293
"/Users/joan/Project/note-taking-app-new/src/hooks/useCustomPopover.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/joan/Project/note-taking-app-new/src/hooks/useDialog.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/joan/Project/note-taking-app-new/src/icons/TypoNoteLogo.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/joan/Project/note-taking-app-new/src/index.css", "PostCSS", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/joan/Project/note-taking-app-new/src/main.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
